dialogue,Speaker,talktime,math_density,uptake,student_reasoning,focusing_questions
"Good job of explaining what you're thinking. Yeah, now over here. come over and put where do you think Point C would be and then locate it. I'm sorry. then label it now. same thing like we did for A to B In a complete sentence. Explain what's going on from B to C using these purple power words. What increased? Okay, what happened with the distance? So if the distance stayed the same and the time increased, what's happening with the car from B to C? Ah, so the car stopped? It's not moving at all. How long does go ahead? How long does the car stay stopped? Okay, Cool. Now, go back and look at the map. Point C. Does it show B to C doing the same thing that you just described? The time increased and the distance stayed the same.",Tutor,144,3,0.0,,1.0
This is not the map is not by time. it's not by time.,Student,13,0,,0.0,
"A, what do you mean? Bby? That that's cool? Okay? So you want to revise your thinking? Such cool thinking you're doing there. Awesome. Yeah, do we get to change our mind and math? Can you revise your thinking Ya? Absolutely? So you said I think Se is here, And then you thought about it and said, Oh, never mind. I want to change my mind. cool. change it. That's cool. As long as you can tell that that's point C and point B. You're labeling it so you can keep track of your thinking. Nice. Okay, same thing, I'm going to ask you to keep labeling the points and then I'm going to ask you to justify your thinking about why you put the points where you did using these purple power words so you can either do d e or f next, whichever one you want. Oops, I'll move this one for you. This one. We're gon to keep covered up for a minuteo. All right, Are you trying to get a textbox If you want to use itlick on? Are you typing in the textboox right now? Was that I can' hear you. Which point are you going to label next? Put it where you think it needs to gol.",Tutor,213,0,0.0,,0.0
You?,Student,1,0,,,
"Were typing also from C to D? The time is increasing Nice from C to D. the time is increasing. What's going on with a distance from Tod? I saw you with your arrow pointing to something over here. Were you trying to figure something out when you were doing that or were you just thinking I can, Yup.",Tutor,59,1,,,0.0
"Yeah, See is right here, and I thinkt thestance was fift.",Student,11,0,,0.0,
"So, can you tell how much the distance increased from Se. to?",Tutor,12,1,0.0,,1.0
D. hams.,Student,2,0,,,
"Okay, cool, and I can see how you were figuring that out by counting on the the lines of the graph. Nice by fifty. What? Okayw?",Tutor,26,2,,,0.0
"Show fifty miles on, and once it goesup it goesp.",Student,10,0,,0.0,
F. nice explanation. What about time? Can you tell how much time is increasing from D to D? What are you thinking about?,Tutor,23,0,0.0,,1.0
"I sea ha taken one and a half mile, one, one miundred, thirty one hour.",Student,15,0,,0.0,
"How so this is one hour and thirty minutes. Where are we at right now For time? So if Point D is at two hours and thirty minutes, and point C was at one hour and thirty minutes, how much time increased from C to D? One hour Quo. So you can label it up here from C to D. The time is increasing by some amount, and the distance is increasing by fifty miles. Give me some more room. Which one are you gonna work on now? I'm gona modle down here. Are you thinking about D to e or e to F? Okay, nice, I must scoot it up here so we can see it, So where would you want to put point?",Tutor,125,1,1.0,,0.0
E is aby.,Student,3,0,,,
"Re, how come you're erasing them? Ah, so you want that to show more distance There? your first thought was too close. You think Now that you've thought about by how much it has increased, He? yeah, how come Ded E has this squiggly line? You think it may be a bumpy road? Is that what you said so? from D to E? you said that the distance increased by a total of thirty miles Is the distance increasing like smoothly like it was here? Or is what's going on? Ah, so from D to E, the car is slowing down and then speeding back up, and then slowing down and then speeding back up. And what's happening from C to D is the car slowing down or speeding up, or staying at the same speed? It's doing whatup?",Tutor,139,5,,,0.0
Y.,Student,1,0,,,
"So the distance is definitely increasing from C to D, and the time is definitely increasing from C to D. But for some reason there's this smooth line here and D to E. distance is also increasing and time is also increasing, But it's a bumpy line, so how come it's a straight line or like a smooth line here, and a bumpy line heres.",Tutor,65,7,,,0.0
Traffic.,Student,1,0,,,
"Ah, like cruise control. Yeah, so this blue line shows from A to B. the car is traveling like it's on cruise control. No traffic, nice and smooth, And then from B to C, What happens with the car? Does it slow down or does it completely stop? Yeah, it completely stops and then from C to D, it travels again nice and smooth like it has cruise control and then D to E. You're right. There might be some traffic that's causing it to stop and go, or speed up and slow down. So where on this journey does it make sense for the car to be and stop and go traffic? In? where on this map would it make sense for the car to be in traffic 'cause you said from D to E. the car must be in traffic or something like that, Cause it's speeding up and then slowing down?",Tutor,154,1,,,1.0
I may be fied wy here.,Student,6,0,,,
"To so, yeah, A I, ninety five is the name of this entire in interstate. this entire road cool. So put, D. I'm sorry, put point E where you think it is, and then from E to F. is the car traveling at a nice smooth speed? Or is it in stop and go traffic? Okay, So does it make sense for the car to be able to travel smoothly through New York City or through New York City? Would it be and stop and go traffic? That's showing a squiggly line in New York City. That's like the actual shape of the road, but the graph is showing the relationship of how distance is changing and how time is changing, so it's showing how fast or slow the car is going. It's not actually showing the shape of the road. It's showin how fast the car is going. Do that make sense? So where do you think? That's a great question? The graph and the map are keeping track of two different things, So for right here, a tob shows a Kirby line, but A to B on the gra ainew.",Tutor,192,5,0.0,,0.0
"How the hole had grow be on the grass, Cially, it, it is coming about the time list from ear Ea, on the grass on its traffic, so it shos the.",Student,31,0,,0.0,
"Mo, beautiful, Yes, the map is keeping track of the actual shape of the road, but the graph is keeping track of how distance and time are changing in relationship to each other. That was really cool. Thinking we are almost at a time. so we're going to stop for a minute whenever you see any graph. no matter what is labelled here or here. Challenge yourself to think about what is this thing and how is it Changing This axes will tell us if this thing is increasing, decreasing or staying the same. This axes will tell us if this thing is increasing, decreasing or staying the same, And then whatever is in the middle of the graph is telling us how these two things are changing in relationship to each other, So the relationship of miles to ours tells us how fast or how slow, or if the car is stopped or if it's going in this particular situation? Does that make sense? Yeahko, So you know that you are helping us test out this platform and this way of thinking about learning, so I'd love to hear from you. What was this experience like for you? Is there anything that you feel like you are thinking about differently now, or something that you learned?",Tutor,217,4,1.0,,0.0
On butmberny.,Student,2,0,,,
"So it helped you start to think about how those things might be related and get ready for school. Yeah, yeah, and in fact, you're going to see a lot of graphs for the rest of your math and school career, and thinking about how a graph works and making sense of it with these purple power words will help you make sense of what's going on with the grapht, beyond just plotting points or or finding answers. Ok, Co, what was helpful for you or what do you think we should think about doing differently to make it better?",Tutor,100,2,,,0.0
I ho the mat display every day.,Student,7,0,,,
