dialogue,Speaker,talktime,math_density,uptake,student_reasoning,focusing_questions
To B. 50 miles.,Student,4,0,,,
"All right. I want you to label that somehow. You can either do it in the text box up here, or you can label it over here on the map. We're going to keep track of that distance.",Tutor,38,1,,,0.0
From a to B. Okay. Do you want me to like.,Student,11,0,,0.0,
"Like a little mark. Mark me. Okay. So if we're going to pretend like my arrow is 50 miles from Providence. Yeah. Where. So on the map somewhere, where would that 50 miles be?",Tutor,34,0,0.0,,0.0
Where do you see that 50 miles?,Student,7,0,,,
"What do you mean? I, what do you see the 50 miles? So if we're going to pretend like my arrows, the car. Are pointing to me, right? Yeah. Tell me when to stop traveling. When you think that I've traveled a total of 50 miles. And I recognize there's no numbers on this map. This is your estimate of where you think 50 miles would be.",Tutor,67,2,1.0,,0.0
Okay. Okay. Right there.,Student,4,0,,,
"A little front, like right over here. So right where you put point B. Yeah. Okay. So the line right here. Yeah. Yeah. Okay. So use your pencil tool then to label 50 miles up here somehow.",Tutor,37,1,,,0.0
Okay.,Student,1,0,,,
Yep. There you go. You got to click inside of it to start typing.,Tutor,14,0,,,0.0
Okay.,Student,1,0,,,
Okay.,Tutor,1,0,,,0.0
Yeah.,Student,1,0,,,
"And how far,",Tutor,3,0,,,0.0
how much distance will the car have traveled when it's traveled the whole trip? 150 miles.,Student,16,2,,0.0,
A little more than 150. Okay.,Tutor,6,0,1.0,,0.0
"So you're saying about from here to here is 50 miles. Oh,",Student,12,0,,0.0,
"Oh, wait, no, that can't be, it can't be right.",Tutor,10,0,0.0,,0.0
"Okay. Okay. So. That's like, Like it's. So. This could be split into like three sections. 50. And like, this is too little. Like this wouldn't be 50 miles. 50 miles and more. So be over like here.",Student,38,0,,0.0,
"And then it would be like over here. So. So you're saying that you want to change your mind. So you're going to click on the, the search bar or your text box. And it sounds like you want to change your mind from where you originally put BNC. Yeah. Revise your thinking.",Tutor,53,0,1.0,,0.0
Yeah.,Student,1,0,,,
"Do we get to revise our thinking in math? Huh? Do you get to revise your thinking in math? Do you get to change your mind in math? Sometimes. Yeah, absolutely. You do. Yeah. So I'm going to click on the search bar. And I'm going to click on my rough draft thinking. And now I want to revise that and edit my work. And I want B or C to be somewhere else. So I'm going to erase the ones that I label. And you put some new dots on the map.",Tutor,93,0,,,0.0
Label what those dots are in your mind. So I'm going to label my whiteboard.,Student,15,0,,0.0,
I think I pressed something on my mouse and I accidentally exited out.,Tutor,13,0,0.0,,0.0
You just clicked off the window. I think. Cause I can still see you. You can. Okay. Good.,Student,18,0,,0.0,
Cause it had like made me exit out. Sorry about that. That's okay. Can you still see the whiteboard? Yep.,Tutor,20,0,1.0,,0.0
"I can still see you too. So we're good. So now label those dots. Okay. Yeah. Oh, that's a little bit too big. Perfect. Yeah. So that's 15. That's a hundred. And that's like one 50. So I'll delete. Oh, I know that's still a, oh my gosh. Okay. So that's a. Then this would be. And. See. And.",Student,59,1,,0.0,
"This would be D. And this would be A. So earlier you wanted this to be a, to B, because you said that this part of the map looks like this part of the graph. It's more straight. Yeah. So now. Let's explore what's going on here. This is a curvy line on the map. On the road. But it's a straight line on the graph. So what is the map keeping track of and what is the graph keeping track",Tutor,81,5,1.0,,0.0
of? The map is keeping track of the road. Maybe. Like how. Hello. And like all the turns and stuff that they have to make. And. The map is keeping track of like.,Student,33,0,,0.0,
"I'm not sure. Maybe like how much traffic. It was. Or something. Yeah. So the graph is keep, you've talked about the easy drive or an interrupted drive. So that graph is keeping track of how the car is moving somehow. Yeah. And you said C is at the same point because distance hasn't changed. So. What's the difference from B to D.",Tutor,63,3,1.0,,0.0
I'm sorry. C to D. From C to D. There is an increase in distance.,Student,15,1,,0.0,
And an increase in time. There's still that straight line from C to D. Yeah. What's that easy driver. What's that easy driver.,Tutor,23,1,1.0,,0.0
What's the difference in your mood about C to D.,Student,10,0,,0.0,
Yeah. Is the from B to C. You said the car was stopped. Yeah.,Tutor,14,0,1.0,,0.0
From C to D is the car stopped.,Student,8,0,,0.0,
"Oh, no, the car is moving. Okay.",Tutor,7,0,1.0,,0.0
How fast was the car going from B to C. The car wasn't. Going at all. Because.,Student,17,0,,0.0,
It didn't move in distance and the distance in the same. Okay. So the car. Wasn't moving at all. From C to D. The car is moving. Yeah.,Tutor,28,2,1.0,,0.0
Do you think the car is going at all. No.,Student,10,0,,0.0,
I don't think so.,Tutor,4,0,1.0,,0.0
What would we need to be able to say how fast the car is going. The amount of miles per hour.,Student,21,0,,0.0,
It's going. How fast was the car going.,Tutor,8,0,1.0,,0.0
"Per one hour. Oh, wait, no, no. What. I wouldn't give you how fast the car was going. How fast was the car going.",Student,24,0,,0.0,
I'm not sure. But something. Yeah.,Tutor,6,0,0.0,,0.0
I'm not sure. Yeah. I'm not sure. Like exactly.,Student,9,0,,0.0,
"How we would get it. How we would be able to determine how fast the car was going. Yeah. Okay. If we know. So if we say that a car is going 75 miles per hour. That means that a car has traveled 75 miles. In one hour. So the car has traveled 75 miles. In the span of one hour. Yeah. So anywhere along this graph, do we know anything about.",Tutor,72,1,0.0,,1.0
Miles and hours. Yeah. The car is traveling.,Student,8,0,,0.0,
50 miles per hour.,Tutor,4,0,1.0,,0.0
From where.,Student,2,0,,,
I don't know. How did you get 50 miles per hour? Or how did you get. Miles per hour.,Tutor,19,0,,,1.0
How did you get 50 miles per hour from a to B? Show me what you were seeing. I don't think this is from A to B because. I'm not sure. But. Probably great here.,Student,35,0,,0.0,
Goes up to 50 within an hour. Okay. So from a to B. So. The car traveled. 50 miles. In the period of. One hour. That's a weird looking five. Sorry. In the period of one hour.,Tutor,37,0,1.0,,0.0
Okay.,Student,1,0,,,
Yeah. Yeah.,Tutor,2,0,,,0.0
"Is your yeah, like a yes. I know this is 50 miles per hour. I'm not sure. I'm not sure. I think it's like. From a zero. And then it goes up to 50. So I'm not sure if it would be from here to here.",Student,46,0,,0.0,
Or like from here to like here.,Tutor,7,0,1.0,,0.0
"Like. Well, that's. I think this is right.",Student,8,0,,0.0,
"Yeah, this is right.",Tutor,4,0,1.0,,0.0
You're convinced now. Yeah.,Student,4,0,,,
Cause no one else would really make sense. Okay. So this line represented. Easy drive. Yeah. And this line represented.,Tutor,20,2,,,0.0
Interrupted drive.,Student,2,0,,,
"Yeah. If we know that the car is traveling 50 miles per hour. And we have this straight line here. Yeah, this shows that the car is traveling at a constant rate. Or constant speed. So from a to B, the car is traveling.",Tutor,44,1,,,0.0
"At a constant speed. Yeah. I think the straight lines. I present like 50 miles. Within the hour, because. From point C. To point D.",Student,25,1,,0.0,
That's 50 miles and that's within an hour or two. Okay.,Tutor,11,0,1.0,,0.0
And what would you label that as? Zero. Because the car hasn't moved.,Student,13,0,,0.0,
"Yeah. Yeah, we would label that as zero. Zero. Miles. Per. Hour. So from B to C, the speed. Stays the same. And then from D to E, the distance. What could you say about D to E? And now you have even more purple power words. So you have the ones that we talked about already to describe how distance is changing. You have the ones to describe how time is changing. And you have started thinking about another. Thing in this situation that we can measure. So we have.",Tutor,91,3,1.0,,0.0
And what's the unit that we use to think about speed?,Student,11,1,,0.0,
Miles per hour. Oh. Now we have speed. That is also a thing that is changing. Or staying the same.,Tutor,20,0,1.0,,0.0
So we have. From D to E. Music right here. And then from D to F. So then. That's. More than an hour. And. The distance is increasing. But it's not the full 50 miles. So. D to F. And that is within.,Student,43,1,,0.0,
"About an hour and 45 minutes. So from D to E. Yeah, explain what is happening with distance. And.",Tutor,19,1,1.0,,1.0
Using these words. Okay. With distance. That is. It's increasing. About 40 miles. And with time. There's an increase. In distance. And.,Student,22,2,,0.0,
And.,Tutor,1,0,0.0,,0.0
And. It takes. Like. Compared to the other. Like points. It takes a driver longer. To get to. E from point D. And it takes a driver a little bit longer. Did I say an hour and 45 minutes? I meant an hour and like 15. Yeah. So it takes a driver. About. 15 Minutes longer than usual.,Student,58,0,,0.0,
Okay. And earlier you described. Interrupted drive. Yeah. So. In terms of speed.,Tutor,13,0,1.0,,0.0
"What's happening from D to E with a speed. The driver's like slowing down. And then like right here, they go back. To how they were normally driving. But then they start slowing down again.",Student,35,0,,0.0,
"So it's not. 50 Miles per hour. It's not a constant speed. Or we could think about it as it's not a constant. Rate of change. Yeah. If it's a constant rate of change. Then we have this. Easy drive or the smooth line. And that means all along from C to D. Or a to B. The car is traveling at a constant speed. It's like they set cruise control. Yeah. But from D to E. It's not a constant speed. It's a constant speed. So it increases. And then it. Stays the same. And then it increases. So that means that car is stopping and going. Yeah. Yeah. Yeah. Okay. So. Earlier. When you were talking about. Let me move these out of the way. Earlier. We talked about how we would look at the speed. And figure out how many miles. And the time of the. Situation and think about hours. And then we said we would explore a little bit about what this blue line was keeping track of. So in your own words, how would you describe.",Tutor,182,2,1.0,,0.0
What that blue line is showing or keeping track of. Yeah. The blue line kept track of like the speed.,Student,20,2,,0.0,
"The drivers going. Exactly. And the speed is this thing. That's a relationship of miles to hours. And then we said, okay, let's. Let me move this. A little bit. In this particular situation, we happen to be thinking about distance. And it's a thing that is changing. And so we could measure how it's changing. We could measure how time. In terms of hours is changing. And then what goes on in the middle of the graph. Is the number of hours. Are changing together. So no matter what type of graph you're dealing with. In school or life. Challenge yourself to think about these purple words. As a way to make sense of the situation here. Okay. Is this variable increasing, decreasing, or staying the same. And how are they changing in relation to each other. And that's what the middle of the graph. Always describes for us. Make sense. Yes. Cool. So, you know, that you're helping us test out this platform. And this way of. Engaging in a math learning experience. So I would love to hear what this experience was like for you. Is there anything that you feel like you learned.",Tutor,197,7,1.0,,0.0
"That you feel like you're different about now. I feel like I learned. Let me see. Like how to like. To reconsider my thoughts on things. And stuff like when you ask. Oh. I'm going to think about this. Or rethink it out and realize, oh, this might've been wrong. This might've. But yeah. It was very engaging. And. Yeah, it just made me think.",Student,65,0,,0.0,
And stuff. What was helpful for you?,Tutor,7,0,1.0,,1.0
Or what are some things that we should think about doing differently to make it better? What was helpful? What was helpful was when. You would like. Help me put my thoughts into words. I kind of feel like jumbled. And stuff that was very helpful. And I don't think there's anything I would really change.,Student,56,0,,0.0,
Cool.,Tutor,1,0,0.0,,0.0
Thank you so much for joining tonight.,Student,7,0,,,
Always do that. You are a really deep thinker. And give yourself permission to do that all the time. And question. And make sense of what it is in the situation.,Tutor,31,0,0.0,,0.0
I will definitely do that more in the upcoming school year.,Student,11,0,,0.0,
Fantastic. And then always challenge yourself to think about what's going on in this graph. In this situation. What does it keep track of? And what does it mean?,Tutor,29,1,0.0,,1.0
Okay.,Student,1,0,,,
Okay. Great. Thank you for joining. Thank you.,Tutor,8,0,,,0.0
Have a good night. Have a good night. Bye. Bye. Bye.,Student,11,0,,0.0,
