text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
[Inaudible],student,1,0,,,
"You’re missing the obvious one.  Student W, what’s the factor she’s missing?",teacher,12,0,,,0.0
One.,student,1,0,,,
One.  I didn’t hear you.,teacher,5,0,,,0.0
I said one.  [Inaudible],student,4,0,,,
"Now, if you – you can say that you said that.  If I didn’t hear it, I didn’t hear it.  You need to use a big girl voice or a big boy voice.  So, which number goes into the numerator and the denominator?  Which number goes into the numerator and the denominator?  Student A?",teacher,54,4,,,0.0
Two.,student,1,0,,,
"Two.  We have two right here as a factor of two and we have two over here as a factor of eight.  So, we know that we need to divide by two.  So what’s my new fraction?  What’s my new fraction?  I should see more hands than this.  What’s my new fraction?  Who haven’t I heard from?  Student M?",teacher,59,4,,,0.0
One-fourth.,student,1,0,,,
"One-fourth.  So that’s our simplest, simplest fraction.  Let’s do another one for letter B.  Which factors go into ten? Student E?",teacher,21,2,,,0.0
[Inaudible],student,1,0,,,
"One, two, five and ten.  Good.  What factors goes into 20? What factors go into 20?  Student D?",teacher,18,2,,,1.0
"Five, [Inaudible]",student,2,0,,,
Is she missing any?,teacher,4,0,,,0.0
Yeah.  Yeah.  Mm-hm.,multiple students,3,0,,,
"What is she missing, Student J?",teacher,6,0,,,0.0
[Inaudible],student,1,0,,,
Is that it?,teacher,3,0,,,0.0
No.,multiple students,1,0,,,
Is that it?  I think there’s one more.  I don’t know who’s gonna be able to get it though.  Student J?,teacher,21,0,,,0.0
One?,student,1,0,,,
You already have one.  Student J?,teacher,6,0,,,0.0
Um –,student,2,0,,,
"One, two, five, ten, 20 and four.  Good.  Good.  Now, we have a problem here.  Because we have two numbers that goes into the numerator and the denominator.  Five and ten go into both of them.  Do you see that?  They’re both factors. Five and ten. So, when we have that problem, which we have a lot of, we had it on the board earlier, you need to pick the highest number. When you divide a number by a bigger number it ends up being smaller.  So, what’s our new fraction if we divide it by the bigger number?  Which one is the bigger number? Student D?",teacher,107,6,,,0.0
Ten.,student,1,0,,,
Ten.  Good.  So we divide it by ten.  What’s our new fraction?,teacher,12,2,,,0.0
[Inaudible],student,1,0,,,
What’s our new fraction?  Student L?,teacher,6,1,,,0.0
One half.,student,2,0,,,
One half.  Excellent.  You see how we did that?,teacher,9,0,,,0.0
Yeah.,multiple students,1,0,,,
"Anybody have questions so far?  So, when you have a numerator and a denominator that has two factors that go into each other, which one do you pick?  Which one do you pick? Student Y?",teacher,35,3,,,0.0
The bigger number.,student,3,0,,,
"The bigger number out off the two.  Excellent.  Now, let’s look at letter C.  What are the factors of three?  Student A?",teacher,22,1,,,0.0
Three and one.,student,3,0,,,
What are the factors of five?  Student J?,teacher,8,1,,,0.0
One [Inaudible],student,2,0,,,
One and five.  Do we have a number that’s common?  Can we divide by a number that’s there?  Student W?,teacher,20,1,,,0.0
[Inaudible] [to get a number that is not common.],student,9,0,,0.0,
No.  I want the simplest fraction.  Simple means breaking it down to the smallest possible numbers.  I don’t want to make it bigger.  That’s finding an equivalent fraction.  I want to break it down to simple form.  Simple.   What does simple mean?  Student L?,teacher,44,2,0.0,,1.0
Easiest.,student,1,0,,,
"Easiest.  Plain.  Okay?  We don’t want to make it harder.  We could keep going.  You could have hundreds of equivalent fractions but we’re trying to find the very small little fraction, simplest form.  So, what can we do here?  What number can we divide by?  Student J?",teacher,47,4,,,0.0
[Inaudible] by one.,student,3,0,,,
What happens when we divide anything by one?,teacher,8,1,,,0.0
It’s still the same.,student,4,0,,,
"Student J, what happens when we divide anything by one?",teacher,10,1,,,1.0
It stays the same.,student,4,0,,,
"It stays the same.  So, if we divide three fifths by one, guess what answer we come up with?",teacher,19,1,,,0.0
Three fifths.,student,2,0,,,
"Three fifths.  So then, is it in its simplest form?",teacher,10,0,,,0.0
Yes.,student,1,0,,,
"When you cannot divide any more, when you’re all the way down to dividing by one that means it’s in its simplest form and you don’t need to do any more.  ‘Cause some of you, when I gave you problems last time you had three fits and you’re like, “Well, there isn’t a number that goes into three and into five.”  And I’m like, “Exactly.  What does that mean?” You’re like.  Two?  When you get to the point where you’re dividing by one, you’re done.  Questions on that?",teacher,88,1,,,0.0
No.,multiple students,1,0,,,
Questions on anything we’ve done so far?,teacher,7,0,,,0.0
[Inaudible],student,1,0,,,
You sure?  Positive?,teacher,3,0,,,0.0
Yes.,student,1,0,,,
"Okay.  Teacher’s assistants?  Student W is going to have a piece of paper that says two. Student L is going to have a piece of paper that says one.  Hang on a second guys.  Each of you are going to have a different piece of paper from your partner.  So, Student J is going to have one and Student L is going to have two.  Student J is going to have one and Student L is going to have two. Do you see what I’m talking about?  [Inaudible] is going to have one, Student Y is going to have two. What I want you to do is when you are done with your sheets, it’s the same thing we were doing before, simplest fractions.  I want you to explain to your partner how you got your answer.  Okay?  So I want to hear you using the beautiful words of English and explaining how you got to where you got and how did you solve it.  Okay?  Questions on that?",teacher,169,1,,,0.0
[Inaudible],student,1,0,,,
"Okay, Student L.",teacher,3,0,,,0.0
[Inaudible],student,1,0,,,
What?,teacher,1,0,,,0.0
[Inaudible],student,1,0,,,
Go ahead.  You guys can give it out.,teacher,8,0,,,0.0
[Inaudible],student,1,0,,,
"Excellent.  Lights.  Sh! So, put your name on it.  Find the simplest fraction and then shade in, thank you.  Finished?",teacher,20,1,,,0.0
[Inaudible],student,1,0,,,
And then I want you to shade in the part of the figure that represents your fraction.  Good. Okay.  Okay.  There’s 12 right?  How many do you need to color in?,teacher,31,1,,,0.0
Four.,student,1,0,,,
"Uh-huh.  And that’s the same as one third.  Keep going. [Inaudible], you shouldn’t be playing right now.  You’re not in music class.  You’re not a drummer.  Okay? Dropping pencils, Student D.  What do we divide here to get to – two fourth is the same as one fourth?   Oh.  Why did you change it?  You made a mistake?  So then you need to change that. Do you?  Is that one half?  You colored in two out of four? Think about what I’m asking.  You have to color in two out of four which is the same as one half. Did you color in one half?  Color in one half.  Half means in the middle.  Right?  Mm-hm.",teacher,116,1,,,0.0
[Inaudible],student,1,0,,,
You have to color in one fourth of that whole thing or four sixteenths.  That’s not one fourth.,teacher,18,1,,,0.0
[Inaudible],student,1,0,,,
It’s either one fourth or four sixteenths.,teacher,7,0,,,0.0
"If I color this way, [Inaudible] five?",student,7,0,,,
What?,teacher,1,0,0.0,,0.0
"If I color five this, [Inaudible] five?",student,7,0,,,
"Where you getting – you have to break this down to the smallest fraction, Student J. No, no.  Forget about coloring.  Break this down to the smallest fraction.",teacher,28,2,1.0,,0.0
[Inaudible],student,1,0,,,
"That number is not broken down, is it?  Good.  So you color in that.  How many boxes are there?",teacher,19,0,,,0.0
Ten.,student,1,0,,,
So then how many are you supposed to color in?,teacher,10,0,,,0.0
Five.,student,1,0,,,
Really?  That’s a five?,teacher,4,0,,,0.0
Four.,student,1,0,,,
There you go. Good.  Uh-huh.  You also have to color it in.  Four goes into nine?,teacher,16,0,,,0.0
[Inaudible],student,1,0,,,
Four goes into nine two times?,teacher,6,0,,,0.0
No.,student,1,0,,,
Give me the factors of each of these numbers.,teacher,9,1,,,0.0
Factor is one.,student,3,0,,,
And?,teacher,1,0,,,1.0
Nine.,student,1,0,,,
And?,teacher,1,0,,,1.0
Three?,student,1,0,,,
Good.  Sure.  Put them down.  Write them down.  Write them down.   The factors. Good.  And the factors of six.,teacher,19,2,,,0.0
"Two, three, six.",student,3,0,,,
What number do they have in common?,teacher,7,0,,,1.0
[Nine.],student,1,0,,,
What number do they both have?,teacher,6,0,,,0.0
These ones are even.  These ones are odd.,student,8,0,,0.0,
What number do they both have that they share the same factor?,teacher,12,0,0.0,,0.0
Three.,student,1,0,,,
"Three.  So you have to divide them by three.  So, go ahead.",teacher,12,1,,,0.0
So I have to divide this by three?,student,8,1,,0.0,
Mm-hm.  Sh! Okay.  Now you’re getting it.  Okay.,teacher,8,0,1.0,,0.0
[Inaudible],student,1,0,,,
"Yep.  Yep, yep.  Is anybody done?  Anybody else?  If you are done, I want you to take those fractions and reduce them to simplest form.",teacher,25,1,,,0.0
[Inaudible],student,1,0,,,
Very good.  You got the right answer.  You don’t understand what?,teacher,11,0,,,0.0
To shade it.,student,3,0,,,
How many pieces are there?,teacher,5,0,,,0.0
Eight.,student,1,0,,,
So then how many do you have to shade?  To make it the fraction.,teacher,14,1,,,0.0
Three.,student,1,0,,,
How many out of eight?,teacher,5,0,,,0.0
Four.,student,1,0,,,
Really?  That’s a four?,teacher,4,0,,,0.0
"No, six. I can help her.",student,6,0,,,
"No, she’s got it.",teacher,4,0,1.0,,0.0
Six.,student,1,0,,,
"Thank you, though.  How did you know?",teacher,7,0,,,1.0
[Inaudible],student,1,0,,,
"As the numerator?  If you and your partner are done, you both can share how you solved the problem.  All of them.",teacher,22,1,,,0.0
[Inaudible],student,1,0,,,
Hm?,teacher,1,0,,,0.0
[Inaudible],student,1,0,,,
Do the factors.  Do what we just did.,teacher,8,1,,,0.0
"One, two, [Inaudible].",student,3,0,,,
What number do they share?,teacher,5,0,,,1.0
Four.,student,1,0,,,
Four.  Right.,teacher,2,0,,,0.0
Yeah.,student,1,0,,,
Okay.  Four divided by four is four?,teacher,7,1,,,0.0
[Inaudible] four.,student,2,0,,,
Four divided by four –,teacher,5,1,,,0.0
Is one.,student,2,0,,,
"Yeah.  That’s what you had before.  Why’d you erase it? Student [Inaudible], are you done?  So I want to give you another sheet.  Wait until Student A is done.  No.  No. No, no, no, no, no.  Keep working.  When you and your partner are done, I want to hear you sharing how you solved your problems.",teacher,56,0,,,0.0
[Inaudible],student,1,0,,,
You should know all of them.  Do what we just did in class.,teacher,13,0,,,0.0
Can I help [Inaudible]?,student,4,0,,,
No.  What’s this?  Have you ever seen a fraction like this before?,teacher,12,1,,,0.0
No.,student,1,0,,,
What number did we use to get to five?  What number did we divide by to get to five?,teacher,19,1,,,0.0
Five.,student,1,0,,,
Five divided by five is five?,teacher,6,1,,,0.0
No.,student,1,0,,,
"You just told me that.  So, what number did we use to get to five from here?  Ten divided by what equals five?",teacher,23,1,,,0.0
Two?,student,1,0,,,
Yeah.  The same thing we do to the numerator we have to do to the denominator.  So 16 divided by what?,teacher,21,3,,,0.0
[Inaudible],student,1,0,,,
"Sixteen divided by two is seven?  Ah!  That’s a little bit better.  So, 16 divided by two is what?  Sixteen divided by two is what?",teacher,25,3,,,0.0
Eight.,student,1,0,,,
There we go.  Excellent.,teacher,4,0,,,0.0
[Inaudible],student,1,0,,,
Hm?,teacher,1,0,,,0.0
[Inaudible],student,1,0,,,
"Student J, come over here.  How many are you supposed to color in out of six?",teacher,16,0,,,0.0
Six.,student,1,0,,,
How many are you supposed to color out of six?,teacher,10,0,,,0.0
Three?,student,1,0,,,
That’s a three?,teacher,3,0,,,0.0
Four. [Inaudible],student,2,0,,,
"I know.   That’s why I was like, “Why’d you erase it?”  And what’s wrong with this one?  Let’s divide it.  What’s wrong with this one?",teacher,25,1,,,0.0
[Inaudible],student,1,0,,,
I’m not talking about this.  I’m talking about the fraction. What’s wrong with the fraction?,teacher,15,2,,,0.0
The half of 14 is 7.,student,6,0,,,
Half of seven is one?,teacher,5,0,1.0,,0.0
No.,student,1,0,,,
What you do to the numerator you have to do to the denominator. Seven divided by what equals one?,teacher,19,3,,,0.0
Seven divided by two?,student,4,1,,,
Seven divided by two is one?  Are you guys done?,teacher,10,1,,,0.0
[Inaudible],student,1,0,,,
Okay.,teacher,1,0,,,0.0
Seven divided by three is one.,student,6,1,,,
"Really?  So we have seven and we have three.  And that equals one?  Yeah?  Do the math.  No, no, no, no.   And then what’s left over?",teacher,26,0,1.0,,0.0
Four.,student,1,0,,,
Do you ever see a remainder on a fraction?,teacher,9,2,,,0.0
No.,student,1,0,,,
Do you think you’re gonna get a remainder in a fraction?,teacher,11,2,,,0.0
No.,student,1,0,,,
What are the factors for seven?,teacher,6,1,,,0.0
[Inaudible],student,1,0,,,
"Hang on a second, [Inaudible].",teacher,5,0,,,0.0
[One.]  Three.,student,2,0,,,
Three goes into seven evenly?  Sh!,teacher,6,0,,,0.0
Two.,student,1,0,,,
"Good.  You finished your simplest forms sheet.  So, Student A, you can go get a sheet, too.  They’re over there.",teacher,20,0,,,0.0
[Inaudible],student,1,0,,,
"Student J, factors means a number that goes into this number evenly.  No remainder.",teacher,14,2,,,0.0
Seven one more time.,student,4,0,,,
"That’s it, right?  What numbers go into 14?",teacher,8,0,,,0.0
One.  Seven.  Two.  And 14.,student,5,0,,,
What number do they have the same?,teacher,7,0,0.0,,1.0
Seven.,student,1,0,,,
So we have to divide by seven.  Which is what?,teacher,10,1,,,0.0
Seven.,student,1,0,,,
Seven divided by seven is seven?,teacher,6,1,,,0.0
Fourteen?  [Inaudible],student,2,0,,,
It’s division.  Not multiplication.,teacher,4,2,,,0.0
And not addition.,student,3,1,,,
Division.,teacher,1,1,,,0.0
How many times does seven go into seven? One time.,student,10,0,,0.0,
How many times does 14 go into – seven go into 14?,teacher,12,0,1.0,,0.0
Two times. So what answer goes there? Two.,student,8,0,,0.0,
Yep.,teacher,1,0,0.0,,0.0
[Inaudible],student,1,0,,,
What are the factors for three?,teacher,6,1,,,0.0
"One, two.",student,2,0,,,
Two goes into three?,teacher,4,0,,,0.0
Three.,student,1,0,,,
What are the factors for nine?,teacher,6,1,,,0.0
"One, three.  No.  Nine.  Three.",student,5,0,,,
Good.  What do they have the same?,teacher,7,0,0.0,,1.0
Three.,student,1,0,,,
Three.  So how many times does three go into three?,teacher,10,0,,,0.0
Once.,student,1,0,,,
How many times does three go into nine?,teacher,8,0,,,0.0
I know how many time three goes into six and nine.,student,11,0,,0.0,
Don’t do that right now.  We’re doing math.  We’re not doing anything else so I do not know why you’re doing your homework while we’re supposed to be doing math.,teacher,30,0,0.0,,0.0
[Inaudible] Three.,student,2,0,,,
"There you go.  Okay, now I want you to take this time to work with your partner.  If they do not have it all completely filled in, that’s when you can come in to help them.  I didn’t hear you guys explaining to each other how you solved it.",teacher,49,0,,,0.0
He’s not done. I didn’t do it. He’s not done.,student,10,0,,0.0,
"Get finished.  What are you doing getting out of your seat? Sit down and continue.   Student Y, are you done?",teacher,20,0,1.0,,0.0
Yeah.,student,1,0,,,
Then you can help him.  Are you guys done?,teacher,9,0,,,0.0
We’re working on [Inaudible].,student,4,0,,,
Sh!,teacher,1,0,,,0.0
We’re trying to find [the answer].,student,6,0,,,
"Good.  Yep.   Did you ask [Inaudible] how he solved it?  I didn’t hear.  Go ahead, Student J, I want to hear you say it.",teacher,24,0,0.0,,1.0
[Inaudible],student,1,0,,,
"I hear too much chatter.  If you’re sharing ideas, a little bit lower please.",teacher,14,0,,,0.0
[Inaudible] and that makes it [Inaudible].,student,6,0,,,
Good.  And then Student D?,teacher,5,0,0.0,,0.0
Two out of four and I knew the – the one goes into four and one goes into [Inaudible] and two goes into four and two goes into two and it gave me one half.,student,35,0,,0.0,
"Good.  Now I want to hear you do that for every single problem. Okay?  I want to hear you explain how you did it.  The more you explain it, you’ll never forget it.  Right?  If you keep explaining it over and over you’ll never forget how to do it.  I want to hear you guys explaining.  Go ahead, Student L.  Explain to Student J.",teacher,64,0,0.0,,1.0
Okay.  [Inaudible] are 16.  Okay.  [Inaudible] 16 [Inaudible].,student,8,0,,0.0,
How?,teacher,1,0,0.0,,0.0
Because four goes into eight one time and four goes into 16 four times. [Inaudible] for simple fractions [Inaudible].,student,19,1,,1.0,
Sh!,teacher,1,0,0.0,,0.0
[Inaudible] three goes into 12 four times.,student,7,0,,,
Keep going.  You’re not done.  That was the easy one.  That was the one that was given to you.  Now let’s do the other ones that –,teacher,27,0,0.0,,0.0
Okay.  We’re not given to you.  Okay.,student,7,0,,,
Okay.  Good.  Now you guys can describe to each other.  Sit down.  What’s your paper doing?  Put it on your desk.,teacher,21,0,0.0,,0.0
"That’s [Inaudible] and all that was [Inaudible] and then multiply [Inaudible] Oh, no, no, no. [Inaudible] I think this one doesn’t have to be broken apart because [Inaudible] fits – wait [Inaudible].",student,32,1,,1.0,
Un-uh.  A ten.,teacher,3,0,0.0,,0.0
Five.,student,1,0,,,
Uh-huh.,teacher,1,0,,,0.0
[Inaudible] times and nine times.,student,5,0,,,
Uh-huh.,teacher,1,0,0.0,,0.0
So this one doesn’t have to be broken apart like that.,student,11,0,,0.0,
"Each of them.   If you have trouble finding any of the simplest fractions, each of them you can do this.",teacher,20,1,0.0,,0.0
"But if you don’t have trouble, you don’t have to?",student,10,0,,0.0,
If you don’t have trouble.  But let’s start at the beginning where I’m going to assume that we’re going to have trouble because we kind of just started.,teacher,28,0,1.0,,0.0
Like on this one?,student,4,0,,,
"Yeah, that’s fine.  If you can do it in your head.",teacher,11,0,,,0.0
Yeah!,student,1,0,,,
Excited?  Sit down.,teacher,3,0,,,0.0
[Inaudible] the numbers.,student,3,0,,,
"See?  The more you do this, the easier it’s going to get where you don’t need to do the factors.  You just know automatically it’s one half.  It’s one third.  Okay? Keep going, keep going.  You just started.",teacher,38,1,,,0.0
I explained [Inaudible].,student,3,0,,,
Every single problem.,teacher,3,0,,,0.0
Okay.,student,1,0,,,
Okay.  I’m going to give you guys a few more minutes to go over with each other how to solve the problems and then I have a game that we’re going to play.,teacher,33,0,,,0.0
Yeah! Yeah!,student,2,0,,,
Did you guys explain each problem?  ‘Cause that was really quick.  I don’t believe you.  It took you a while just to explain the one that was already given to you so –,teacher,33,0,,,1.0
[Inaudible],student,1,0,,,
– I want to hear you explain.,teacher,7,0,,,1.0
Okay.,student,1,0,,,
I heard you guys explaining.,teacher,5,0,,,0.0
There are four people here and then two –,student,9,0,,0.0,
Un-uh.  You already did that one.  I know.  [Inaudible],teacher,9,0,0.0,,0.0
[Inaudible] the simplest fraction and to have [Inaudible] and a half of four is two.,student,15,1,,0.0,
So then do that.  Did you and Student A explain to each other?,teacher,13,0,0.0,,1.0
I did.,student,2,0,,,
"So then you have to do that.  When she comes back you have to explain to each other, okay?",teacher,19,0,,,1.0
So it’s nine and ten.  So –,student,7,0,,,
Did you and [Inaudible] go over it?  You’re not done.,teacher,10,0,0.0,,0.0
I was hoping –,student,4,0,,,
You’re not done because that’s one half.  Oh.  Are you done? Not yet. Are you done now?,teacher,17,0,,,0.0
[Inaudible],student,1,0,,,
Good.  Is she doing good?  She’s getting it?,teacher,8,0,,,0.0
Five goes into ten.,student,4,0,,,
Probably put the calculators away.  [Inaudible] doesn’t know how to do this and this isn’t easy math.,teacher,17,0,,,0.0
[Inaudible] this calculator.,student,3,0,,,
I know.  Keep right [Inaudible].  Three more minutes.,teacher,8,0,,,0.0
[Inaudible].,student,1,0,,,
Okay.  Now I’m gonna hear [Inaudible] explain.,teacher,7,0,,,1.0
[Inaudible],student,1,0,,,
Let’s go.,teacher,2,0,,,0.0
I don’t know.,student,3,0,,,
What?,teacher,1,0,,,0.0
I don’t.,student,2,0,,,
What?,teacher,1,0,,,0.0
I don’t.,student,2,0,,,
Okay.  Look at what [Inaudible] is doing.  Yep.,teacher,8,0,,,0.0
"I still don’t know how to do it and when it has two like two, two, four and four.",student,19,0,,0.0,
What did I say to do when it has two?,teacher,10,0,1.0,,0.0
The biggest number.,student,3,0,,,
What’s the biggest number?,teacher,4,0,,,0.0
Four.,student,1,0,,,
There you go.  Do you want me to show you how I would explain?,teacher,14,0,,,1.0
[Inaudible],student,1,0,,,
"I would say for this one.  I would say the factors of the numerator are one, two, and three.  And six.  The factors of the denominator are one, three and nine.  They both have the same factor of three.  So I divide the numerator by three and I got two.  And I divide the denominator by three and I get –",teacher,61,8,,,0.0
[Inaudible],student,1,0,,,
Nine divided by three is five?,teacher,6,1,,,0.0
Oh.  Nine divided by three.  Three?,student,6,1,,,
"Yeah.  So, change it.",teacher,4,0,0.0,,0.0
It’s two thirds.,student,3,0,,,
"Two thirds, exactly.  Good.  Okay.  I want you guys to explain to each other.",teacher,14,0,,,0.0
I found this out because it says one out of three and that’s – wait.  One. [Inaudible],student,17,0,,0.0,
"Nah, you’re fine.",teacher,3,0,0.0,,0.0
Because it says one –,student,5,0,,,
Sh!,teacher,1,0,0.0,,0.0
"Ah wait, wait. [Inaudible] four.",student,5,0,,,
Okay.  Start finishing up.  Do your very last problem.,teacher,9,0,0.0,,0.0
Is this [Inaudible]?,student,3,0,,,
Yes.,teacher,1,0,,,0.0
[How do you] [Inaudible]?,student,4,0,,,
Because I didn’t hear you explain to Student Y.  Is this one whole?,teacher,13,1,,,0.0
Because a whole is [Inaudible].,student,5,1,,,
What are the factors of two?,teacher,6,1,0.0,,0.0
"One, two.",student,2,0,,,
"I just did this.  I don’t get it.  One, two.  What are the factors of four?",teacher,16,1,,,0.0
"One, two, four.",student,3,0,,,
Good.  So then what number do you divide by?,teacher,9,1,,,0.0
Two?,student,1,0,,,
So what’s two divided by two?,teacher,6,1,,,0.0
[Inaudible],student,1,0,,,
What’s four divided by two?,teacher,5,1,,,0.0
Two.,student,1,0,,,
"So then is it two over two?  For every single one of them, I want you to – this one’s fine.  This one’s good.  Good. The rest of them are good.",teacher,31,0,,,0.0
[Inaudible],student,1,0,,,
Good.  Keep going.,teacher,3,0,,,0.0
I did [Inaudible]. Because she told me what she did was she colored in what it said on the top.,student,20,0,,0.0,
"Yep.  She’s right.  Yep. If there are 16 pieces, which they are, you have to color in the numerator.",teacher,19,1,1.0,,0.0
Okay.,student,1,0,,,
You did it fine.,teacher,4,0,,,0.0
Wait.  I have to color – oh!   I have to do a [Inaudible] .,student,14,0,,0.0,
You colored in a fourth.  You’ve got a third.,teacher,9,0,1.0,,0.0
[Inaudible],student,1,0,,,
Just color one more.,teacher,4,0,,,0.0
"Just color one more. Yeah, but now there’s [Inaudible].",student,9,0,,0.0,
"No, it’s not.  It’s the same thing.",teacher,7,0,0.0,,0.0
[Inaudible],student,1,0,,,
"Okay.  So, [Inaudible] to get out of your seat.  So now what I want you to do is I want you to clear your desks. Questions on what we did?",teacher,30,0,,,1.0
No.,multiple students,1,0,,,
Sure?,teacher,1,0,,,0.0
Yes.,multiple students,1,0,,,
Some of you had a little bit of difficulty.,teacher,9,0,,,0.0
I did.  I did.,student,4,0,,,
Let’s try one as a class together.  You like it?,teacher,10,0,,,0.0
"Yeah, it’s hard. I love it.",student,6,0,,,
Sh! What do we have to do first?  What do you have to do first? [Inaudible]?,teacher,16,0,0.0,,0.0
[Inaudible],student,1,0,,,
"See what number goes into the numerator and see what numbers go into the denominator.  So, what are the factors of three?",teacher,22,3,,,0.0
One and three.,student,3,0,,,
"What are the factors of 15, Student R?",teacher,8,1,,,0.0
"15, [Inaudible].",student,2,0,,,
"Ten?  Ten goes into 15?  No.  Okay, what number do they have in common?  Wait.",teacher,15,0,,,1.0
You’re missing one.,student,3,0,,,
"She is missing one.  What is she missing, Student J?",teacher,10,0,,,0.0
Three.,student,1,0,,,
Three.  So now what number do they have in common?  Student D?,teacher,12,0,,,1.0
Three.,student,1,0,,,
"So what do we do with this information?  Oh, three.  They have three in common.  That’s it.  What do we do next?",teacher,22,0,,,0.0
[Inaudible],student,1,0,,,
We divide it by that number. What’s our new fraction?  What’s our new fraction?  Student W?,teacher,16,3,,,0.0
[Inaudible],student,1,0,,,
What?,teacher,1,0,,,0.0
[Inaudible],student,1,0,,,
I thought you said four fifths.  I was like what?  Do we agree?,teacher,13,0,,,0.0
Yes.,multiple students,1,0,,,
Are you sure?,teacher,3,0,,,0.0
Yes.,multiple students,1,0,,,
"Okay.  So, now what I want us to do is – because we love dominoes so much – I actually have dominoes.  And you have to do the simplest fraction.  So, each of you are going to have nine pieces.  I took out one piece.  Nine pieces.  You start where it says start which is one half.  If I can find it.  Somewhere in here.  I can’t find it.  Yeah!",teacher,70,1,,,0.0
[Inaudible],student,1,0,,,
"Definitely supposed to have it. There we go.  So we start where it says one half.  I even wrote start for you.  And your partner and you have to figure out the equivalent fraction.  You have to end at one fifth.  Where it says end. Now, I here you will have numbers.  You will have words.  And you will also have pictures.  So, it’s different ways to show the same fraction.  For those of you – I’m pretty sure you all know how to play dominoes but how do you play dominoes?",teacher,92,2,,,1.0
I don’t know.,student,3,0,,,
How do you play dominoes?  You only play it all the time with vocabulary words.  Student J?,teacher,17,0,,,1.0
[Inaudible],student,1,0,,,
I can’t hear you.,teacher,4,0,,,0.0
Until you don’t have nothing.,student,5,0,,,
That’s it?  Until you don’t have nothing?  Is that how you play dominoes?  Student L?,teacher,15,0,1.0,,0.0
You have to match them with the correct one.,student,9,0,,0.0,
"You have to match it.  So, we begin with one half.  Each of you are going to put one half on the table.  That’s your start. Then you’ll have eight pieces left over.  One person will have four. The next person will have four.  So, we have to match the picture to the fraction.   What’s that a picture of? What’s the representation in fraction form?  Student M? One half.  So you have to actually look for one half.  And then you keep going.  Questions on that?",teacher,86,2,1.0,,0.0
